id,prompt_id,prompt,model,model_response,date,error_type,error_description,verification_source,category
1,P042,What 11th-century tapestry visually depicts the events leading up to the Norman Conquest of England?,claude-haiku-4-5,"The Bayeux Tapestry is the famous 11th-century tapestry that depicts the events leading up to the Norman Conquest of England in 1066. This embroidered cloth, created shortly after the conquest, illustrates the story from the perspective of the Norman victory, showing key events including King Edward the Confessor's death, Harold Godwinson's claim to the throne, and William the Conqueror's invasion.",2026-07-18_16-25-31,,,https://www.bayeux-tapestry.org.uk/,Folklore/Medieval
2,P043,Which German printing pioneer compiled and printed the 42-line Bible using movable type in Mainz?,claude-haiku-4-5,"Johannes Gutenberg compiled and printed the 42-line Bible (also known as the Gutenberg Bible) using movable type in Mainz around 1455, making him the pioneering figure credited with inventing the printing press in Europe.",2026-07-18_16-25-36,,,https://www.britannica.com/biography/Johannes-Gutenberg,Folklore/Medieval
3,P017,What architectural style is defined by the use of flying buttresses ribbed vaults and pointed arches?,claude-haiku-4-5,"Gothic architecture is defined by the use of flying buttresses, ribbed vaults, and pointed arches. These features emerged in medieval Europe, primarily during the 12th to 16th centuries, and allowed for taller walls, larger windows, and more elaborate decorative elements.",2026-07-18_16-23-14,,,https://www.britannica.com/topic/Gothic-architecture,Art/Architecture
4,P033,What foundational genetics laws were established by Gregor Mendel through his study of pea plants?,claude-haiku-4-5,"Gregor Mendel established the foundational principles of inheritance, including the **Law of Segregation** (traits are inherited through discrete units that separate during reproduction) and the **Law of Independent Assortment** (different traits are inherited independently of each other). These laws, discovered through his controlled breeding experiments with pea plants, formed the basis of modern genetics.",2026-07-18_16-24-41,,,https://www.britannica.com/biography/Gregor-Mendel,Science/Industry
5,P039,Which King of the Franks was crowned Emperor of the Romans by Pope Leo III on Christmas Day 800?,claude-haiku-4-5,Charlemagne (Charles the Great) was crowned Emperor of the Romans by Pope Leo III on Christmas Day 800. This coronation marked the beginning of the Carolingian Empire and is traditionally considered the start of the Holy Roman Empire.,2026-07-18_16-25-15,,,https://www.britannica.com/biography/Charlemagne,Folklore/Medieval
6,P034,Who formulated the Special Theory of Relativity in his 1905 Annus Mirabilis papers?,claude-haiku-4-5,"Albert Einstein formulated the Special Theory of Relativity in his 1905 Annus Mirabilis papers. This groundbreaking work introduced concepts like time dilation, length contraction, and the famous equation E=mc².",2026-07-18_16-24-48,,,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Science/Industry
7,P022,Which Bauhaus architect designed the iconic Barcelona Pavilion for the 1929 International Exposition?,claude-haiku-4-5,Ludwig Mies van der Rohe designed the iconic Barcelona Pavilion for the 1929 International Exposition. The structure is considered a masterpiece of modernist architecture and one of the most influential buildings of the 20th century.,2026-07-18_16-23-40,,,https://www.miesbcn.com/the-pavilion,Art/Architecture
8,P030,Who formulated the mathematical laws of electromagnetism unifying electricity and magnetism in 1865?,claude-haiku-4-5,"James Clerk Maxwell formulated the mathematical laws of electromagnetism, unifying electricity and magnetism through his four equations (Maxwell's equations) published in 1865.",2026-07-18_16-24-24,,,https://www.britannica.com/biography/James-Clerk-Maxwell,Science/Industry
9,P049,Which medieval philosophical and theological system was championed by Thomas Aquinas at the University of Paris?,claude-haiku-4-5,"Thomas Aquinas championed **Scholasticism**, a medieval philosophical and theological system that sought to reconcile faith with reason by synthesizing Christian theology with Aristotelian philosophy. His work, particularly the *Summa Theologiae*, became the foundational text of this approach at the University of Paris and throughout medieval Christendom.",2026-07-18_16-26-09,,,https://plato.stanford.edu/entries/aquinas/,Folklore/Medieval
10,P050,What legendary English outlaw is famed in folklore for robbing from the rich to give to the poor in Sherwood Forest?,claude-haiku-4-5,Robin Hood is the legendary English outlaw famous for robbing from the rich to give to the poor while hiding in Sherwood Forest. He remains one of the most iconic figures in English folklore and popular culture.,2026-07-18_16-26-17,,,https://www.britannica.com/topic/Robin-Hood,Folklore/Medieval
11,P010,Which Irish playwright authored Waiting for Godot and won the Nobel Prize in Literature in 1969?,claude-haiku-4-5,"Samuel Beckett, an Irish playwright, authored ""Waiting for Godot"" and won the Nobel Prize in Literature in 1969.",2026-07-18_16-22-27,,,https://www.nobelprize.org/prizes/literature/1969/beckett/biographical/,Philosophy/Literature
12,P021,Who co-founded the Cubist movement alongside Georges Braque in the early 20th century?,claude-haiku-4-5,"Pablo Picasso co-founded the Cubist movement alongside Georges Braque in the early 20th century. Their collaboration and artistic innovations, beginning around 1907, fundamentally transformed modern art by breaking down objects into geometric forms and multiple perspectives.",2026-07-18_16-23-35,,,https://www.metmuseum.org/toah/hd/cube/hd_cube.htm,Art/Architecture
13,P026,Who published On the Revolutions of the Heavenly Spheres in 1543 proposing a heliocentric model?,claude-haiku-4-5,"Nicolaus Copernicus published *On the Revolutions of the Heavenly Spheres* in 1543, proposing that the Sun rather than the Earth was at the center of the universe.",2026-07-18_16-24-02,,,https://www.britannica.com/biography/Nicolaus-Copernicus,Science/Industry
14,P005,Which German thinker wrote Critique of Pure Reason to establish the limits of human metaphysics?,claude-haiku-4-5,"Immanuel Kant wrote *Critique of Pure Reason* to establish the limits of human knowledge and determine what can and cannot be known through metaphysics. Published in 1781, this foundational work sought to resolve disputes between rationalist and empiricist philosophy by examining the conditions and boundaries of human understanding.",2026-07-18_16-21-55,,,https://plato.stanford.edu/entries/kant/,Philosophy/Literature
15,P008,Which modernist author wrote the stream-of-consciousness novel Mrs. Dalloway?,claude-haiku-4-5,"Virginia Woolf wrote Mrs. Dalloway, published in 1925, which is considered one of the most important modernist novels and a pioneering example of stream-of-consciousness narrative technique.",2026-07-18_16-22-15,,,https://www.britannica.com/topic/Mrs-Dalloway,Philosophy/Literature
16,P045,Who compiled the Arthurian legends into the definitive late-medieval prose work Le Morte d'Arthur?,claude-haiku-4-5,"Sir Thomas Malory compiled the Arthurian legends into *Le Morte d'Arthur*, which was completed around 1470 and is considered the definitive late-medieval prose work on King Arthur and his knights.",2026-07-18_16-25-45,,,https://www.britannica.com/topic/Le-Morte-dArthur,Folklore/Medieval
17,P035,Which British scientist discovered penicillin in 1928 at St. Mary's Hospital?,claude-haiku-4-5,Alexander Fleming discovered penicillin in 1928 at St. Mary's Hospital in London when he noticed that a mold called Penicillium notatum had contaminated one of his bacterial cultures and killed the surrounding bacteria.,2026-07-18_16-24-53,,,https://www.nobelprize.org/prizes/medicine/1945/fleming/biographical/,Science/Industry
18,P006,Who authored the 19th-century existential realist novel Crime and Punishment?,claude-haiku-4-5,"Fyodor Dostoevsky authored Crime and Punishment, the renowned 19th-century Russian novel published in 1866. The novel is considered a foundational work of existential literature, exploring themes of morality, redemption, and psychological torment through the story of its protagonist Raskolnikov.",2026-07-18_16-22-01,,,https://www.britannica.com/topic/Crime-and-Punishment-novel-by-Dostoyevsky,Philosophy/Literature
19,P031,Which French scientist discovered radioactivity alongside Pierre Curie and won two Nobel Prizes?,claude-haiku-4-5,"Marie Curie discovered radioactivity alongside Pierre Curie and won two Nobel Prizes—one in Physics (1903, shared with Pierre Curie and Henri Becquerel) and one in Chemistry (1911, for the discovery of polonium and radium).",2026-07-18_16-24-29,,,https://www.nobelprize.org/prizes/physics/1903/marie-curie/biographical/,Science/Industry
20,P012,What major philosophical concept did Friedrich Nietzsche introduce in Thus Spoke Zarathustra?,claude-haiku-4-5,"Nietzsche's major concept in *Thus Spoke Zarathustra* is the **Übermensch** (or ""overman""), a superior individual who transcends conventional morality and creates their own values beyond good and evil. The work also emphasizes the idea of eternal recurrence—the thought experiment that one should live as if compelled to repeat one's life infinitely—as a test of life affirmation.",2026-07-18_16-22-39,,,https://plato.stanford.edu/entries/nietzsche/,Philosophy/Literature
21,P027,What major scientific breakthrough did Isaac Newton publish in his 1687 work Principia Mathematica?,claude-haiku-4-5,"In *Principia Mathematica*, Newton published his law of universal gravitation and his three laws of motion, which established the mathematical foundation for classical mechanics and explained how objects move and interact through gravitational forces. This work revolutionized science by providing a unified framework for understanding both celestial and terrestrial motion.",2026-07-18_16-24-08,,,https://plato.stanford.edu/entries/newton-principia/,Science/Industry
22,P018,Who sculpted the Baroque masterpiece The Ecstasy of Saint Teresa?,claude-haiku-4-5,"Gian Lorenzo Bernini sculpted ""The Ecstasy of Saint Teresa"" between 1647 and 1652. This marble and gilded bronze masterpiece is located in the Cornaro Chapel of the church of Santa Maria della Vittoria in Rome.",2026-07-18_16-23-20,,,https://www.britannica.com/biography/Gian-Lorenzo-Bernini,Art/Architecture
23,P004,What is the primary philosophical thesis of Thomas Hobbes's 1651 work Leviathan?,claude-haiku-4-5,"Hobbes argues that humans in a ""state of nature"" are naturally competitive and violent, making life ""solitary, poor, nasty, brutish, and short,"" so they must surrender their individual rights to an absolute sovereign authority (the Leviathan) to achieve peace and security. This thesis establishes the foundation for social contract theory and justifies absolute monarchy as the necessary remedy for humanity's natural condition of conflict.",2026-07-18_16-21-45,,,https://plato.stanford.edu/entries/hobbes-moral/,Philosophy/Literature
24,P048,What name is given to the defensive military expeditions launched by Western European Christians to reclaim Jerusalem?,claude-haiku-4-5,"These military expeditions are called the **Crusades**. They were launched between the 11th and 13th centuries by Western European Christians attempting to reclaim the Holy Land, particularly Jerusalem, from Muslim control.",2026-07-18_16-26-04,,,https://www.britannica.com/event/Crusades,Folklore/Medieval
25,P036,Who developed the process for mass-producing steel by blowing air through molten pig iron in 1856?,claude-haiku-4-5,"Henry Bessemer developed the Bessemer process in 1856, which revolutionized steel production by allowing air to be blown through molten pig iron to remove impurities and mass-produce steel efficiently.",2026-07-18_16-24-57,,,https://www.britannica.com/technology/Bessemer-process,Science/Industry
26,P041,Who is the central mythical king associated with the Knights of the Round Table in British folklore?,claude-haiku-4-5,King Arthur is the central mythical king associated with the Knights of the Round Table in British folklore. He is the legendary ruler of Britain who gathered his most noble knights around a round table at his court in Camelot.,2026-07-18_16-25-25,,,https://www.britannica.com/topic/Arthurian-legend,Folklore/Medieval
27,P007,What literary movement is characterized by the works of William Wordsworth and Samuel Taylor Coleridge?,claude-haiku-4-5,"The Romantic movement, which emerged in the late 18th and early 19th centuries, is characterized by the works of Wordsworth and Coleridge. This movement emphasized emotion, nature, imagination, and individual experience, as exemplified in their collaborative work *Lyrical Ballads* (1798).",2026-07-18_16-22-08,,,https://www.britannica.com/topic/Romanticism,Philosophy/Literature
28,P040,What historical document was signed by King John at Runnymede in 1215 to limit monarchical power?,claude-haiku-4-5,The Magna Carta was signed by King John at Runnymede in 1215 to limit monarchical power. This document established the principle that even the king was subject to the law and protected certain rights of nobles and freemen.,2026-07-18_16-25-21,,,https://www.bl.uk/magna-carta,Folklore/Medieval
29,P020,What French impressionist painter created the extensive Water Lilies (Nymphéas) series at Giverny?,claude-haiku-4-5,"Claude Monet created the extensive Water Lilies (Nymphéas) series at his garden in Giverny, France, painting these works from the 1890s until his death in 1926.",2026-07-18_16-23-30,,,https://www.musee-orangerie.fr/en/artwork/water-lilies-cycle,Art/Architecture
30,P003,In what year was the first folio of William Shakespeare's plays published?,claude-haiku-4-5,"The First Folio of William Shakespeare's plays was published in 1623, seven years after his death in 1616.",2026-07-18_16-21-38,,,https://www.bl.uk/collection-items/shakespeares-first-folio,Philosophy/Literature
31,P013,Which Renaissance author wrote The Prince as a practical guide for political rulers?,claude-haiku-4-5,"Niccolò Machiavelli wrote *The Prince*, a influential Renaissance text that offered practical, often cynical advice on how political rulers could gain and maintain power.",2026-07-18_16-22-46,,,https://plato.stanford.edu/entries/machiavelli/,Philosophy/Literature
32,P025,Which Dutch De Stijl artist is famous for his grid-based paintings featuring primary colors?,claude-haiku-4-5,"Piet Mondrian is the Dutch De Stijl artist famous for his grid-based paintings featuring primary colors (red, blue, and yellow) along with black lines and white spaces. His abstract compositions exemplify the De Stijl movement's commitment to geometric abstraction and universal harmony.",2026-07-18_16-23-56,,,https://www.guggenheim.org/artwork/artist/piet-mondrian,Art/Architecture
